,all-1,all-2,all-3,mLB-1,mLB-2,mLB-3,mLC-1,mLC-2,mLC-3,mLLm1-1,mLLm1-2,mLLm1-3,mLLm2-1,mLLm2-2,mLLm2-3,mST-1,mST-2,mST-3
gene-QMZ82_RS09250,13.55991161,7.794879285,1.435098011,8.908491178,6.254624647,8.802397689,16.86504837,5.066876289,15.30810043,10.06395546,8.45287343,8.500430406,0,0,0,3.242652106,7.208904541,8.126286961
gene-QMZ82_RS09255,330.0349081,342.1530222,345.745624,305.0886503,189.9377404,254.0387268,456.8035818,260.6840219,368.4701723,484.6276341,643.5715261,495.4270133,0,0,0,447.6772569,487.8238718,302.8906843
rna-QMZ82_RS09260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-QMZ82_RS09265,172.1120656,248.9480288,194.6449925,322.0021788,301.9188628,312.6802939,310.3696559,163.5272979,322.1923339,339.2843636,391.2481008,417.6606991,0,0,0,231.9825061,229.6329997,238.8434582
gene-QMZ82_RS09270,513.9603588,767.4286057,1098.80116,792.6440939,349.7280475,659.2954418,763.0969092,527.1412762,584.6451384,810.2320366,961.7154907,735.9935341,0,0,0,473.4847402,757.7709092,387.3491529
gene-QMZ82_RS09275,26.33692437,32.38778458,28.55240226,26.69648806,43.05930263,54.69144712,67.99901937,31.13323686,59.21453224,53.42128127,65.98436585,70.50282771,0,0,0,35.10456278,43.80852072,57.42906702
gene-QMZ82_RS09280,206.0451099,298.2634756,241.6826372,321.2530118,301.6473175,327.3288257,298.1110412,225.3400264,349.9340441,403.7100366,479.6522255,458.4411812,0,0,0,401.4842816,393.2329714,309.9157827
gene-QMZ82_RS09285,338.7789749,488.9498946,527.3158736,434.403914,456.1228141,448.7706149,425.4240588,284.1837921,426.9874801,580.628993,689.9911914,567.2421706,0,0,0,365.6729915,399.7964594,314.5979779
gene-QMZ82_RS09290,521.6776072,655.0839121,573.7580849,568.0906298,431.8214437,469.5201614,953.1648493,654.4579296,885.9563414,400.0704968,507.0193622,444.4680811,0,0,0,978.6249287,948.6767814,977.603347
gene-QMZ82_RS09295,921.744662,1119.150604,1184.377824,1234.482888,1146.50801,1145.26919,1575.964501,992.7041881,1446.085526,1553.691085,1740.263887,1499.363101,0,0,0,1193.682087,1134.052274,948.9205511
gene-QMZ82_RS09300,63.73635336,55.41144195,48.91497646,68.81952942,73.88262832,74.3810275,80.42073021,56.67401414,124.5508559,29.24652831,35.87530136,76.6639236,0,0,0,170.5220205,133.675586,142.5288053
gene-QMZ82_RS09305,18.34747179,26.23333725,24.53599375,23.43001073,7.266645337,13.92160101,15.98767778,15.96222654,25.75947954,50.586907,54.39734052,50.26797734,0,0,0,33.93304978,32.48209954,37.66101102
gene-QMZ82_RS09310,84.67113071,79.3027672,71.10620571,103.7852524,63.79262654,85.86047177,63.50967174,38.12487383,44.29973171,122.3628531,140.0744193,130.1658939,0,0,0,84.30785246,87.81327597,31.47064466
gene-QMZ82_RS09315,24.84950603,23.81418814,22.77405073,29.85044224,20.6391602,19.81355438,30.44980545,15.35216742,26.73633254,38.81549992,52.89277385,53.5402921,0,0,0,33.97255983,37.34236174,30.04321561
gene-QMZ82_RS09320,15.04889389,17.6118913,37.45019614,27.80825652,16.7918426,19.81723304,21.88178649,15.46869175,24.97931542,40.17195556,37.54966165,36.68203752,0,0,0,20.98276856,13.14509182,9.944033706
gene-QMZ82_RS09325,186.4938087,175.6606456,164.4001787,174.6267987,175.5065161,189.6690182,309.373398,215.0090537,312.4343124,65.90711459,82.8020329,88.47213101,0,0,0,418.3583037,334.0200275,432.9545134
gene-QMZ82_RS09330,920.8335114,954.7345254,868.7384155,1103.432316,638.4938155,893.1991902,1659.294631,1113.011459,1167.370759,764.6523955,1061.508588,805.1272426,0,0,0,3413.678748,3803.195826,2945.350793
gene-QMZ82_RS09335,17.89846181,56.54119895,27.74990165,32.37604231,21.49586207,24.90843343,39.12884519,20.50591478,25.92666688,48.47536919,41.48651353,36.11997404,0,0,0,31.71839551,54.56579586,16.78782087
gene-QMZ82_RS09340,521.6992511,478.4458524,387.4520903,465.4061488,353.8394238,415.1959351,768.6267683,527.6378175,714.0007775,336.9247456,338.6738989,235.3587378,0,0,0,694.8350144,874.8360953,700.9163688
gene-QMZ82_RS09345,128.0585919,180.4561057,162.8577428,263.8523494,236.5825315,241.4703716,194.4780685,95.75594591,158.922808,343.2876202,410.3571929,445.6182747,0,0,0,271.6893928,220.0742394,160.2216794
rna-QMZ82_RS09350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-QMZ82_RS09355,357.6402609,363.8278743,347.9588034,492.3069577,515.2165979,481.0399986,464.7623894,318.0235731,486.8541634,292.2747003,300.0593884,288.5461061,0,0,0,807.4831249,753.9482604,790.6588238
